aa,kepCode,kepTitle,area,county,region,address,tk,phoneNumber,fax,email,comments,lat,lon
317,324,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΚΑΡΔΙΤΣΑΣ","ΚΑΡΔΙΤΣΑ","ΝΟΜΟΣ ΚΑΡΔΙΤΣΑΣ","ΘΕΣΣΑΛΙΑΣ","ΚΟΥΜΟΥΝΔΟΥΡΟΥ 29",43100,2441079999,2441079442,"n.karditsas@kep.gov.gr","",29.99659362000045,39.40617361200049
318,325,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΛΑΡΙΣΗΣ","ΔΙΟΙΚΗΤΗΡΙΟ","ΝΟΜΟΣ ΛΑΡΙΣΗΣ","ΘΕΣΣΑΛΙΑΣ","ΠΑΠΑΝΑΣΤΑΣΙΟΥ ΚΑΙ ΒΕΛΗ -",41110,"2410597291 2410597225 2410597356",2410538682,"n.larisis@kep.gov.gr","",1.340894180000419,47.25689899100047
319,326,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΜΑΓΝΗΣΙΑΣ","ΒΟΛΟΣ","ΝΟΜΟΣ ΜΑΓΝΗΣΙΑΣ","ΘΕΣΣΑΛΙΑΣ","Ν.ΓΑΤΣΟΥ 20 - 2ας ΝΟΕΜΒΡΙΟΥ",38333,2421031435,2421030412,"n.magnisias@kep.gov.gr","",-100.9662603329997,20.46910035000047
320,327,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΤΡΙΚΑΛΩΝ","Τρίκαλα","ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ","ΘΕΣΣΑΛΙΑΣ","Βασίλη Τσιτσάνη 31","",2431046127,2431029256,"n.trikalon@kep.gov.gr","",21.76758204700047,39.55532692000048
321,328,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΖΑΚΥΝΘΟΥ","ΖΑΚΥΝΘΟΣ","ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ","ΙΟΝΙΩΝ ΝΗΣΩΝ","ΦΩΣΚΟΛΟΥ 85 & ΓΛΑΔΣΤΩΝΟΣ 19",29100,2695029853,2695029854,"n.zakinthou@kep.gov.gr","",20.89640860600048,37.7823630960005
322,329,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΚΕΡΚΥΡΑΣ","ΚΕΡΚΥΡΑ-ΚΕΝΤΡΟ","ΝΟΜΟΣ ΚΕΡΚΥΡΑΣ","ΙΟΝΙΩΝ ΝΗΣΩΝ","ΣΑΜΑΡΑ 13",49100,2661089211,2661089180,"n.kerkiras@kep.gov.gr","",19.82954272600045,39.62551744500047
323,331,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΛΕΥΚΑΔΑΣ","ΠΑΡΑΛΙΑ ΛΕΥΚΑΔΑΣ","ΝΟΜΟΣ ΛΕΥΚΑΔΑΣ","ΙΟΝΙΩΝ ΝΗΣΩΝ","Π.ΦΙΛΙΠΠΑ 14",31100,2645024138,2645024138,"n.lefkados@kep.gov.gr","",20.71245655500047,38.64697358600046
324,332,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΗΡΑΚΛΕΙΟΥ","ΗΡΑΚΛΕΙΟ","ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ","ΚΡΗΤΗΣ","ΠΕΔΙΑΔΟΣ 2",71201,2810300782,2810300783,"n.irakleiou@kep.gov.gr","",25.13131234900044,35.33578948700045
325,333,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΛΑΣΙΘΙΟΥ","ΆΓΙΟΣ ΝΙΚΟΛΑΟΣ","ΝΟΜΟΣ ΛΑΣΙΘΙΟΥ","ΚΡΗΤΗΣ","Πολυτεχνίου 1",72100,2841098131,2841022474,"n.lasithiou@kep.gov.gr","",25.71357657600044,35.18812634900047
326,334,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΡΕΘΥΜΝΟΥ","Ρέθυμνο","ΝΟΜΟΣ ΡΕΘΥΜΝΗΣ","ΚΡΗΤΗΣ","Ασκούτση και Ζιμβρακάκη γωνία",74100,2831057626,2831024123,"n.rethimnis@kep.gov.gr","",24.47009347500045,35.36628036500048
327,335,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΧΑΝΙΩΝ","Χανιά,Κρήτη","ΝΟΜΟΣ ΧΑΝΙΩΝ","ΚΡΗΤΗΣ","Πλατεία ΕλευΘερίας 1",73134,2821023302,2821023305,"n.hanion@kep.gov.gr","",24.03711979600047,35.50404651900044
328,336,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΚΙΛΚΙΣ","ΚΙΛΚΙΣ","ΝΟΜΟΣ ΚΙΛΚΙΣ","ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ","21ης ΙΟΥΝΙΟΥ 99",61100,2341077040,2341075102,"n.kilkis@kep.gov.gr","",-0.6150248309995732,48.76442482100049
329,337,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΗΜΑΘΙΑΣ","ΗΜΑΘΙΑ","ΝΟΜΟΣ ΗΜΑΘΙΑΣ","ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ","ΕΛΗΑΣ 14",59100,2331077970,2331077977,"n.imathias@kep.gov.gr","",22.20280329000048,40.52497297600047
330,338,"ΚΕΠ ΔΗΜΟΥ ΗΛΙΟΥΠΟΛΕΩΣ Ν ΑΤΤΙΚΗΣ","Ηλιούπολη Αττικής","ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΑΘΗΝΩΝ-ΚΕΝΤΡΙΚΟΣ ΤΟΜΕΑΣ","ΑΤΤΙΚΗΣ","Μπουμπουλίνας 35",16345,2109943638,2109943637,"d.ilioupoleos@kep.gov.gr","",23.75636722800044,37.92381060700046
331,339,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΠΕΛΛΗΣ","ΕΔΕΣΣΑ","ΝΟΜΟΣ ΠΕΛΛΗΣ","ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ","ΠΕΡΔΙΚΑ 15",58200,2381051661,2381051361,"n.pellis@kep.gov.gr","",101.6730000810006,3.07559012100046
332,340,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΠΙΕΡΙΑΣ","ΚΑΤΕΡΙΝΗ","ΝΟΜΟΣ ΠΙΕΡΙΑΣ","ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ","28 ΟΚΤΩΒΡΙΟΥ 40",60100,2351351100,2351351102,"n.pierias@kep.gov.gr","",23.05247601500048,55.44676982700048
333,341,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΣΕΡΡΩΝ","ΣΕΡΡΕΣ","ΝΟΜΟΣ ΣΕΡΡΩΝ","ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ","ΜΕΡΑΡΧΙΑΣ 36",62110,2321083350,2321083349,"n.serron@kep.gov.gr","",2.95929696400043,50.40949691800046
334,342,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΧΑΛΚΙΔΙΚΗΣ","Πολύγυρος Χαλκιδικής","ΝΟΜΟΣ ΧΑΛΚΙΔΙΚΗΣ","ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ","Διοικητήριο Πολυγύρου",63100,"2371039410-11-16-18-19",2371021722,"n.halkidikis@kep.gov.gr","",23.49682764700043,40.3683113890005
335,343,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΔΩΔΕΚΑΝΗΣΟΥ","ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ","ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ","ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ","ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ 1",85100,2241046534,2241046536,"n.dodekanisou@kep.gov.gr","",23.93770010700047,64.26110011200052
336,344,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΚΥΚΛΑΔΩΝ","ΕΡΜΟΥΠΟΛΗ - ΣΥΡΟΣ","ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ","ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ","ΣΤΑΜΑΤΙΟΥ ΠΡΩΪΟΥ 128",84100,2281079510,2281079518,"n.kykladon@kep.gov.gr","",24.91432276000046,37.43269924800046
337,345,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΑΡΓΟΛΙΔΟΣ","ΝΑΥΠΛΙΟ","ΝΟΜΟΣ ΑΡΓΟΛΙΔΟΣ","ΠΕΛΟΠΟΝΝΗΣΟΥ","ΠΑΡΑΛΙΑΚΗ ΟΔΟΣ ΝΑΥΠΛΙΟΥ-ΝΕΑΣ ΚΙΟΥ",21100,2752027777,2752024316,"n.argolidos@kep.gov.gr","",22.85185322900043,37.58285328600044
338,346,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΚΟΡΙΝΘΙΑΣ","Κόρινθος","ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ","ΠΕΛΟΠΟΝΝΗΣΟΥ","Κωστή Παλαμά 53",20100,2741083378,2741073658,"n.korinthias@kep.gov.gr","",22.94464215300047,37.93276846400045
339,347,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΒΟΙΩΤΙΑΣ","ΛΕΙΒΑΔΙΑ","ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ","ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ","ΣΟΦΟΚΛΕΟΥΣ 19",32100,2261088444,2261028323,"n.voiotias@kep.gov.gr","",18.80379996200043,45.2863999810005
340,348,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΕΥΒΟΙΑΣ","ΧΑΛΚΙΔΑ","ΝΟΜΟΣ ΕΥΒΟΙΑΣ","ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ","ΠΛΑΤΑΝΙΩΤΗ & ΔΟΥΝΑ",34100,2221088822,2221084702,"n.evoias@kep.gov.gr","",-4.735490018999599,42.52309982500049
341,349,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΕΥΡΥΤΑΝΙΑΣ","ΕΥΡΥΤΑΝΙΑΣ","ΝΟΜΟΣ ΕΥΡΥΤΑΝΙΑΣ","ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ","ΚΑΡΑΪΣΚΑΚΗ 1",36100,2237021037,2237024704,"n.evritanias@kep.gov.gr","",9.72836003100042,50.57870005300049
342,350,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΦΩΚΙΔΑΣ","ΑΜΦΙΣΣΑ","ΝΟΜΟΣ ΦΩΚΙΔΟΣ","ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ","ΓΙΔΟΓΑΝΝΟΥ 31",33100,2265079261,2265079265,"n.fokidas@kep.gov.gr","",8.809250026000427,51.72189991900046
343,351,"ΚΕΠ ΠΕΡΙΦΕΡΕΙΑΣ ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ Ν. ΑΧΑΪΑΣ","-","ΝΟΜΟΣ ΑΧΑΪΑΣ","ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ","- -","-","-",2621036332,"p.dytikisellados@kep.gov.gr","",,
344,352,"ΚΕΠ ΔΗΜΟΥ ΑΓΡΙΝΙΟΥ, Ν. ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ","Αγρίνιο Αιτωλοακαρνανίας","ΝΟΜΟΣ ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ","ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ","Μανδηλαρά 3",30100,2641039140,2641045204,"d.agriniou@kep.gov.gr","",21.39272189700046,38.70437846600049
345,353,"ΚΕΠ ΔΗΜΟΥ ΑΡΑΚΥΝΘΟΥ, Ν. ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ","Ματαράγκα Αιτολοακαρνανίας","ΝΟΜΟΣ ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ","ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ","Χαρίλαου Τρικούπη 42",30011,2635055030,2635022019,"d.arakinthou@kep.gov.gr","",21.45480410800047,38.50899033900049
346,354,"ΚΕΠ ΔΗΜΟΥ ΘΕΣΤΙΕΩΝ, Ν. ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ","Νέα Αβοράνη Αιτολοακαρνανίας","ΝΟΜΟΣ ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ","ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ","Νέα Αβοράνη -",30100,2641039730,2641039730,"d.thestieon@kep.gov.gr","",21.39272189700046,38.70437846600049
347,355,"ΚΕΠ ΔΗΜΟΥ ΠΑΛΑΙΡΟΥ, Ν. ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ","ΠΑΛΑΙΡΟΣ Ν. ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ","ΝΟΜΟΣ ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ","ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ","ΠΑΛΑΙΡΟΣ Ν. ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",30012,2643029103,2643041858,"d.kekropias@kep.gov.gr","",20.86537188200043,38.82244926100049
348,356,"ΚΕΠ ΔΗΜΟΥ ΜΕΔΕΩΝΟΣ, Ν. ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ","Κάτουνα Αιτολοακαρνανίας","ΝΟΜΟΣ ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ","ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ","Κάτουνα",30004,2646039000,2646032047,"d.medeonos@kep.gov.gr","",21.11650930600047,38.78543034900048
349,357,"ΚΕΠ ΔΗΜΟΥ ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ, Ν. ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ","ΜΕΣΟΛΟΓΓΙ","ΝΟΜΟΣ ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ","ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ","ΧΑΡΙΛΑΟΥ ΤΡΙΚΟΥΠΗ 39",30200,2631055374,2631023742,"d.mesologgiou@kep.gov.gr","",21.44677228000046,38.39873869800044
350,358,"ΚΕΠ ΔΗΜΟΥ ΜΥΚΗΝΑΙΩΝ, Ν. ΑΡΓΟΛΙΔΑΣ","-","ΝΟΜΟΣ ΑΡΓΟΛΙΔΟΣ","ΠΕΛΟΠΟΝΝΗΣΟΥ","Μηκήνες",21200,2751076904,2751076907,"d.mykinaion@kep.gov.gr","",22.74482935600048,37.71930425300047
351,359,"ΚΕΠ ΔΗΜΟΥ ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ, Ν. ΑΡΚΑΔΙΑΣ","ΑΣΤΡΟΣ ΚΥΝΟΥΡΙΑΣ","ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ","ΠΕΛΟΠΟΝΝΗΣΟΥ","ΑΣΤΡΟΣ ΚΥΝΟΥΡΙΑΣ",22001,2755029090,2755029081,"d.vorkynourias@kep.gov.gr","",22.69028823100047,37.34957090300048
352,360,"ΚΕΠ ΔΗΜΟΥ ΚΛΕΙΤΟΡΟΣ, Ν. ΑΡΚΑΔΙΑΣ","Βαλτεσίνικο Αρκαδίας","ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ","ΠΕΛΟΠΟΝΝΗΣΟΥ","Βαλτεσίνικο Αρκαδίας",22014,2795082357,2795082357,"d.kleitoros@kep.gov.gr","",22.09755282200047,37.7055475790005
353,361,"ΚΕΠ ΔΗΜΟΥ ΜΕΓΑΛΟΠΟΛΗΣ, Ν. ΑΡΚΑΔΙΑΣ","Μεγαλόπολη Αρκαδίας","ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ","ΠΕΛΟΠΟΝΝΗΣΟΥ","Πλατεία Ηρώων Πολυτεχνείου",22200,2791021041,2791021045,"d.megalopolis@kep.gov.gr","",22.08915846900044,37.38064896100048
354,362,"ΚΕΠ ΔΗΜΟΥ ΣΚΥΡΙΤΙΔΑΣ, Ν. ΑΡΚΑΔΙΑΣ","Βλαχοκερασιά Αρκαδίας","ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ","ΠΕΛΟΠΟΝΝΗΣΟΥ","Βλαχοκερασιά",22016,2710382057,2710382057,"d.skyritidas@kep.gov.gr","",22.37697537200046,37.36809492000049
355,363,"ΚΕΠ ΔΗΜΟΥ ΦΑΛΑΙΣΙΑΣ, Ν. ΑΡΚΑΔΙΑΣ","Δ.Δ. Λεονταρίου Φαλαισίας","ΝΟΜΟΣ ΑΡΚΑΔΙΑΣ","ΠΕΛΟΠΟΝΝΗΣΟΥ","Δ.Δ. Λεονταρίου Φαλαισίας",22021,2791061723,2791061722,"d.falaisias@kep.gov.gr","",22.17923138200047,37.26431619600049
356,364,"ΚΕΠ ΔΗΜΟΥ ΑΡΑΧΘΟΥ, Ν. ΑΡΤΑΣ","΄Αρτα","ΝΟΜΟΣ ΑΡΤΑΣ","ΗΠΕΙΡΟΥ","Νεοχώρι",47041,2681087329,2681087329,"d.arahthou@kep.gov.gr","",21.01793574800047,39.07037833400045
357,365,"ΚΕΠ ΔΗΜΟΥ ΚΟΜΠΟΤΙΟΥ, Ν . ΑΡΤΑΣ","ΚΟΜΠΟΤΙ ΑΡΤΑΣ","ΝΟΜΟΣ ΑΡΤΑΣ","ΗΠΕΙΡΟΥ","ΚΟΜΠΟΤΙ ΑΡΤΑΣ",47040,2681066279,2681066278,"d.kompotiou@kep.gov.gr","",21.14815606000047,39.08260574800045
358,366,"ΚΕΠ ΔΗΜΟΥ ΑΓΙΑΣ ΒΑΡΒΑΡΑΣ, Ν. ΑΤΤΙΚΗΣ","Αγία Βαρβάρα Αττικής","ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΑΘΗΝΩΝ-ΔΥΤΙΚΟΣ ΤΟΜΕΑΣ","ΑΤΤΙΚΗΣ","Ελευθερίου Βενιζέλου 75",12351,2105613030,2105613064,"d.agvarvaras-attikis@kep.gov.gr","",23.65717367100046,37.99080137700048
359,367,"ΚΕΠ ΔΗΜΟΥ ΑΓΙΟΥ ΔΗΜΗΤΡΙΟΥ, Ν. ΑΤΤΙΚΗΣ","Άγιος Δημήτριος Αττικής","ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΑΘΗΝΩΝ-ΝΟΤΙΟΣ ΤΟΜΕΑΣ","ΑΤΤΙΚΗΣ","Γ.ΨΥΧΟΓΙΟΥ 8",17341,2109702574,2109702291,"d.agdimitriou-attikis@kep.gov.gr","",23.72391142600043,37.93463824700046
360,368,"ΚΕΠ ΔΗΜΟΥ ΑΙΓΑΛΕΩ, Ν. ΑΤΤΙΚΗΣ","ΑΙΓΑΛΕΩ","ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΑΘΗΝΩΝ-ΔΥΤΙΚΟΣ ΤΟΜΕΑΣ","ΑΤΤΙΚΗΣ","Μάκρης 4 και Πλατεία Ελευθερίας, Αιγάλεω",12241,2105988115,2105986036,"d.aigaleo@kep.gov.gr","",23.67984667000047,37.98312916200047
361,369,"ΚΕΠ ΔΗΜΟΥ ΑΛΙΜΟΥ, Ν. ΑΤΤΙΚΗΣ","Άλιμος Αττικής","ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΑΘΗΝΩΝ-ΝΟΤΙΟΣ ΤΟΜΕΑΣ","ΑΤΤΙΚΗΣ","Θουκυδίδου 43",17455,2109810685,2109859889,"d.alimou@kep.gov.gr","",23.71884217200045,37.91252812800047
362,370,"ΚΕΠ ΔΗΜΟΥ ΑΡΓΥΡΟΥΠΟΛΗΣ, Ν. ΑΤΤΙΚΗΣ","ΑΡΓΥΡΟΥΠΟΛΗ","ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΑΘΗΝΩΝ-ΝΟΤΙΟΣ ΤΟΜΕΑΣ","ΑΤΤΙΚΗΣ","Κύπρου 162",16452,2109622592,2109622619,"d.argiroypoleos@kep.gov.gr","",23.74785972300043,37.90697955400049
363,371,"ΚΕΠ ΔΗΜΟΥ ΒΑΡΗΣ Ν. ΑΤΤΙΚΗΣ","-","ΝΟΜΑΡΧΙΑΚΗ ΑΥΤΟΔΙΟΙΚΗΣΗ ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ","ΑΤΤΙΚΗΣ","Βάκχου & Δήμητρας 13",16672,2108979140,2108971033,"d.varis@kep.gov.gr","",23.80370820500048,37.83184619200046
364,372,"ΚΕΠ ΔΗΜΟΥ ΙΛΙΟΥ, Ν. ΑΤΤΙΚΗΣ","ΙΛΙΟΝ","ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΑΘΗΝΩΝ-ΔΥΤΙΚΟΣ ΤΟΜΕΑΣ","ΑΤΤΙΚΗΣ","ΑΙΑΝΤΟΣ & ΧΡΥΣΗΙΔΟΣ",13122,2102693236,2102693234,"d.iliou@kep.gov.gr","",23.69335697600047,38.02483361300045
365,373,"ΚΕΠ ΔΗΜΟΥ ΚΑΜΑΤΕΡΟΥ, Ν. ΑΤΤΙΚΗΣ","Καματερό Αττικής","ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΑΘΗΝΩΝ-ΔΥΤΙΚΟΣ ΤΟΜΕΑΣ","ΑΤΤΙΚΗΣ","Θεσσαλονίκης 17 και Πηνειού 1 -",13451,2102389723,2102389724,"d.kamaterou@kep.gov.gr","",23.71493179300046,38.06994214200046
366,374,"ΚΕΠ ΔΗΜΟΥ ΜΑΡΑΘΩΝΑ, Ν. ΑΤΤΙΚΗΣ","Μαραθώνας","ΝΟΜΑΡΧΙΑΚΗ ΑΥΤΟΔΙΟΙΚΗΣΗ ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ","ΑΤΤΙΚΗΣ","25ης ΜΑΡΤΙΟΥ 1-3",19007,2294067000,2294066222,"d.marathonos@kep.gov.gr","",23.86040113100046,37.95273269000046
367,375,"ΚΕΠ ΔΗΜΟΥ ΜΟΣΧΑΤΟΥ, Ν. ΑΤΤΙΚΗΣ","Μοσχάτο","ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΑΘΗΝΩΝ-ΝΟΤΙΟΣ ΤΟΜΕΑΣ","ΑΤΤΙΚΗΣ","Λάμπρου Κατσώνη 69",18344,2109483888,2109401168,"d.moshatou@kep.gov.gr","",23.67787653100044,37.94569182100048
368,376,"ΚΕΠ ΔΗΜΟΥ ΚΑΛΛΙΘΕΑΣ, Ν. ΑΤΤΙΚΗΣ","Καλλιθέα Αττικής","ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΑΘΗΝΩΝ-ΝΟΤΙΟΣ ΤΟΜΕΑΣ","ΑΤΤΙΚΗΣ","Ελευθερίου Βενιζέλου 176",17675,2109537790,2109577702,"d.kallitheas-attikis@kep.gov.gr","",23.69106847600045,37.95218938000045
369,377,"ΚΕΠ ΔΗΜΟΥ ΠΑΛΑΙΟΥ ΦΑΛΗΡΟΥ, Ν. ΑΤΤΙΚΗΣ","Παλαιό Φάληρο Αττική","ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΑΘΗΝΩΝ-ΝΟΤΙΟΣ ΤΟΜΕΑΣ","ΑΤΤΙΚΗΣ","Αγίου Αλεξάνδρου 75A","",2109888040,2109884804,"d.palaioufalirou@kep.gov.gr","",23.69159038100048,37.9299598020005
370,378,"ΚΕΠ ΔΗΜΟΥ ΥΜΗΤΤΟΥ, Ν. ΑΤΤΙΚΗΣ","ΥΜΗΤΤΟΣ","ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΑΘΗΝΩΝ-ΚΕΝΤΡΙΚΟΣ ΤΟΜΕΑΣ","ΑΤΤΙΚΗΣ","Χρ. Σμύρνης 8 & Περγάμου 1 1",17237,2107613059,2107613058,"d.ymittou@kep.gov.gr","",23.74538613100043,37.95518862900048
371,379,"ΚΕΠ ΔΗΜΟΥ ΧΑΪΔΑΡΙΟΥ, Ν. ΑΤΤΙΚΗΣ","ΧΑΪΔΑΡΙ","ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΑΘΗΝΩΝ-ΔΥΤΙΚΟΣ ΤΟΜΕΑΣ","ΑΤΤΙΚΗΣ","ΛΕΩΦΟΡΟΣ ΑΘΗΝΩΝ 277",12461,2105324624,2105323766,"d.haidariou@kep.gov.gr","",23.61583678000045,38.00326629600045
372,380,"ΚΕΠ ΔΗΜΟΥ ΧΟΛΑΡΓΟΥ, Ν. ΑΤΤΙΚΗΣ","Χολαργός Αττικής","ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΑΘΗΝΩΝ-ΑΝΑΤΟΛΙΚΟΣ ΤΟΜΕΑΣ","ΑΤΤΙΚΗΣ","17ης Νοεμβρίου 58",15562,2106560686,2106560689,"d.holargou@kep.gov.gr","",23.80818013600043,37.99359992700045
373,381,"ΚΕΠ ΔΗΜΟΥ ΨΥΧΙΚΟΥ, Ν. ΑΤΤΙΚΗΣ","","ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΑΘΗΝΩΝ-ΑΝΑΤΟΛΙΚΟΣ ΤΟΜΕΑΣ","ΑΤΤΙΚΗΣ","Γράμμου 2",15452,2106753466,2106753468,"d.psyhikou@kep.gov.gr","",23.77158494800045,38.01094321400046
