aa,kepCode,kepTitle,area,county,region,address,tk,phoneNumber,fax,email,comments
280,287,"ΚΕΠ ΔΗΜΟΥ ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ, Ν ΚΕΡΚΥΡΑΣ",Κέρκυρα,ΝΟΜΟΣ ΚΕΡΚΥΡΑΣ,ΙΟΝΙΩΝ ΝΗΣΩΝ,Αγρός,49083,2663072697,2663072698,d.aggeorgiou-kerkiras@kep.gov.gr,
281,288,"ΚΕΠ ΔΗΜΟΥ ΠΑΛΑΙΟΚΑΣΤΡΙΤΩΝ, Ν ΚΕΡΚΥΡΑΣ",Κέρκυρα,ΝΟΜΟΣ ΚΕΡΚΥΡΑΣ,ΙΟΝΙΩΝ ΝΗΣΩΝ,Εθνική Παλαιοκαστρίτσας Θέση Σταυρός,49083,2663042120,2663042160,d.palaiokastriton@kep.gov.gr,
282,289,"ΚΕΠ ΔΗΜΟΥ ΘΙΝΑΛΙΟΥ, Ν ΚΕΡΚΥΡΑΣ",ΑΧΑΡΑΒΗ ΚΕΡΚΥΡΑΣ,ΝΟΜΟΣ ΚΕΡΚΥΡΑΣ,ΙΟΝΙΩΝ ΝΗΣΩΝ,,49081,2663064868,2663064866,d.thinaliou@kep.gov.gr,
283,290,"ΚΕΠ ΔΗΜΟΥ ΜΟΥΡΙΚΙΟΥ, Ν ΚΟΖΑΝΗΣ",Εμποριό Κοζάνης,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,Εμποριό Μουρικίου,50005,2463062283,2463062138,d.mourikiou@kep.gov.gr,
284,291,"ΚΕΠ ΔΗΜΟΥ ΕΛΛΗΣΠΟΝΤΟΥ, Ν ΚΟΖΑΝΗΣ",Κοζάνη,ΝΟΜΟΣ ΚΟΖΑΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,Ρυάκιο,50100,2461094515,2461094516,d.ellispontou@kep.gov.gr,
285,292,"ΚΕΠ ΔΗΜΟΥ ΜΟΝΕΜΒΑΣΙΑΣ, Ν ΛΑΚΩΝΙΑΣ",Μονεμβασιά Λακωνίας,ΝΟΜΟΣ ΛΑΚΩΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,Μονεμβασιά,23070,2732061111,2732062110,d.monemvasias@kep.gov.gr,
286,293,"ΚΕΠ ΔΗΜΟΥ ΝΕΣΣΩΝΟΣ, Ν ΛΑΡΙΣΗΣ",ΣΥΚΟΥΡΙΟ,ΝΟΜΟΣ ΛΑΡΙΣΗΣ,ΘΕΣΣΑΛΙΑΣ,Πλ.Ρήγα Φεραίου,40006,2495052900,2495052901,d.nessonos@kep.gov.gr,
287,294,"ΚΕΠ ΔΗΜΟΥ ΙΤΑΝΟΥ, Ν ΛΑΣΙΘΙΟΥ",ΖΑΚΡΟΣ ΛΑΣΙΘΙΟΥ,ΝΟΜΟΣ ΛΑΣΙΘΙΟΥ,ΚΡΗΤΗΣ,ΖΑΚΡΟΣ ΛΑΣΙΘΙΟΥ 5,72300,2843029626,2843029627,d.itanou@kep.gov.gr,
288,295,"ΚΕΠ ΚΟΙΝΟΤΗΤΑ ΤΡΙΚΟΡΦΟΥ, Ν ΜΕΣΣΗΝΙΑΣ",Τρίκορφο,ΝΟΜΟΣ ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,Τρίκορφο,24013,2722061244,2722061244,k.trikorfou@kep.gov.gr,
289,296,"ΚΕΠ ΔΗΜΟΥ ΘΟΥΡΙΑΣ, Ν ΜΕΣΣΗΝΙΑΣ",ΘΟΥΡΙΑ ΜΕΣΣΗΝΙΑΣ,ΝΟΜΟΣ ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,ΚΤΙΡΙΟ ΔΗΜΑΡΧΕΙΟΥ -,24009,2721360236 2721360211,2721064206,d.thourias@kep.gov.gr,
290,297,"ΚΕΠ ΚΟΙΝΟΤΗΤΑ ΤΡΙΠΥΛΑΣ, Ν ΜΕΣΣΗΝΙΑΣ",Σέλλα,ΝΟΜΟΣ ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,Σέλλα,24500,2761025461,2761025461,k.tripylas@kep.gov.gr,
291,298,"ΚΕΠ ΔΗΜΟΥ ΑΥΛΩΝΟΣ, Ν ΜΕΣΣΗΝΙΑΣ",Καλό Νερό Μεσσηνίας,ΝΟΜΟΣ ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,Καλό Νερό Μεσσηνίας,24500,2761062555,2761071275,d.avlonos-messinias@kep.gov.gr,
292,299,"ΚΕΠ ΔΗΜΟΥ ΑΡΙΟΥ, Ν ΜΕΣΣΗΝΙΑΣ","ΑΡΙΟΥ, Ν ΜΕΣΣΗΝΙΑΣ",ΝΟΜΟΣ ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,"ΑΡΙΟΥ, Ν ΜΕΣΣΗΝΙΑΣ",24009,2721051801,2721051782,d.arios@kep.gov.gr,
293,300,"ΚΕΠ ΔΗΜΟΥ ΑΧΕΛΩΟΥ, Ν ΚΑΡΔΙΤΣΑΣ","Αχελώου, Ν Καρδίτσας",ΝΟΜΟΣ ΚΑΡΔΙΤΣΑΣ,ΘΕΣΣΑΛΙΑΣ,"Αχελώου, Ν Καρδίτσας",43066,2445031342,2685061204,d.aheloou@kep.gov.gr,
294,301,"ΚΕΠ ΔΗΜΟΥ ΕΞΑΠΛΑΤΑΝΟΥ, Ν ΠΕΛΛΗΣ",Εξαπλάτανος Νομού Πέλλας,ΝΟΜΟΣ ΠΕΛΛΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,"Φιλικής Εταιρίας, Εξαπλάτανος 3",58004,2384042204,2384042207,d.exaplatanou@kep.gov.gr,
295,302,"ΚΕΠ ΔΗΜΟΥ ΠΙΕΡΙΩΝ, Ν ΠΙΕΡΙΑΣ",Ρητίνη Πιερίας,ΝΟΜΟΣ ΠΙΕΡΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,Ρητίνη Πιερίας -,60100,2351086011 2351086013 2351086014,2351086015,d.pierion@kep.gov.gr,
296,303,"ΚΕΠ ΔΗΜΟΥ ΝΙΚΗΦΟΡΟΥ ΦΩΚΑ, Ν ΡΕΘΥΜΝΗΣ",-,ΝΟΜΟΣ ΡΕΘΥΜΝΗΣ,ΚΡΗΤΗΣ,Ατσιπόπουλο,74100,2831032413,2831032415,d.nikiforoufoka@kep.gov.gr,
297,304,"ΚΕΠ ΔΗΜΟΥ ΚΟΥΡΗΤΩΝ, Ν ΡΕΘΥΜΝΗΣ",Φουρφουράς Ρέθυμνο,ΝΟΜΟΣ ΡΕΘΥΜΝΗΣ,ΚΡΗΤΗΣ,Φουρφουράς Ρεθύμνου,74061,2833041312,2833041313,d.kouriton@kep.gov.gr,
298,305,ΚΕΠ ΔΗΜΟΥ ΝΕΟΥ ΣΙΔΗΡΟΧΩΡΙΟΥ Ν. ΡΟΔΟΠΗΣ,Νέο Σιδηροχώρι,ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΡΟΔΟΠΗΣ,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,Νέο Σιδηροχώρι,69100,2531089010,2531051406,d.neousidirohoriou@kep.gov.gr,
299,306,"ΚΕΠ ΔΗΜΟΥ ΣΑΠΩΝ, Ν ΡΟΔΟΠΗΣ",ΣΑΠΕΣ,ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΡΟΔΟΠΗΣ,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΠΑΠΑΔΗΜΑ 2,69300,2532021006 2532021007,2532021006,d.sapon@kep.gov.gr,
300,307,"ΚΕΠ ΔΗΜΟΥ ΜΕΛΙΤΗΣ, Ν ΦΛΩΡΙΝΗΣ",Μελίτη Φλώρινας,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,Μελίτη,,2385039000,2385039001,d.melitis@kep.gov.gr,
301,308,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΟΥ ΔΙΑΜΕΡΙΣΜΑΤΟΣ ΑΘΗΝΑΣ, ΤΗΣ ΕΝΙΑΙΑΣ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΑΘΗΝΩΝ - ΠΕΙΡΑΙΩΣ",ΑΜΠΕΛΟΚΗΠΟΙ,ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΑΘΗΝΩΝ-ΚΕΝΤΡΙΚΟΣ ΤΟΜΕΑΣ,ΑΤΤΙΚΗΣ,ΚΗΦΙΣΙΑΣ 125 - 127,11524,2106993630 2106993629 2106993628,2106993627,n.athinon@kep.gov.gr,
302,309,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΠΑΛΛΗΝΗ,ΝΟΜΑΡΧΙΑΚΗ ΑΥΤΟΔΙΟΙΚΗΣΗ ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,17ο χιλ ΛΕΩΦ.ΜΑΡΑΘΩΝΟΣ,15351,2106033574,2106664900,n.anatolikisattikis@kep.gov.gr,
303,310,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,Ελευσίνα Αττικής,ΝΟΜΑΡΧΙΑΚΗ ΑΥΤΟΔΙΟΙΚΗΣΗ ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,Εθνικής Αντιστάσεως & Περσεφόνης 109,19200,2105565293,2105541697,n.dytikisattikis@kep.gov.gr,
304,311,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΟΥ ΔΙΑΜΕΡΙΣΜΑΤΟΣ ΠΕΙΡΑΙΩΣ, ΤΗΣ ΕΝΙΑΙΑΣ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΑΘΗΝΩΝ - ΠΕΙΡΑΙΩΣ",ΚΕΡΑΤΣΙΝΙ,ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΠΕΙΡΑΙΩΣ,ΑΤΤΙΚΗΣ,ΑΡΙΑΔΝΗΣ 2 και ΠΗΝΕΙΟΥ 4,18757,2104257543,,n.peiraios@kep.gov.gr,
305,312,ΚΕΠ ΝΟΜ ΑΥΤ ΔΡΑΜΑΣ-ΚΑΒΑΛΑΣ-ΞΑΝΘΗΣ ΝΟΜ ΔΙΑΜΕΡ ΔΡΑΜΑΣ,ΔΙΟΙΚΗΤΗΡΙΟ,ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΔΡΑΜΑΣ,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΟΙΚΗΤΗΡΙΟ,66100,2521062371,2521062367,n.dramas@kep.gov.gr,
306,313,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΟΥ ΔΙΑΜΕΡΙΣΜΑΤΟΣ ΕΒΡΟΥ, ΤΗΣ ΕΝΙΑΙΑΣ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΡΟΔΟΠΗΣ- ΕΒΡΟΥ",ΑΛΕΞΑΝΔΡΟΥΠΟΛΗ,ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΕΒΡΟΥ,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΚΑΡΑΟΛΗ & ΔΗΜΗΤΡΙΟΥ 40,68100,2551088248,2551088247,n.evrourodopis@kep.gov.gr,
307,314,"ΚΕΠ ΝΟΜΑΡΧΙΑΚΟΥ ΔΙΑΜΕΡΙΣΜΑΤΟΣ ΞΑΝΘΗΣ, ΤΗΣ ΕΝΙΑΙΑΣ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΔΡΑΜΑΣ-ΚΑΒΑΛΑΣ-ΞΑΝΘΗΣ",Ξάνθη,ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΞΑΝΘΗΣ,ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,Διοικητήριο,67100,2541083961,2541083963,n.xanthis@kep.gov.gr,
308,315,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΛΕΣΒΟΥ,ΜΥΤΙΛΗΝΗ,ΝΟΜΟΣ ΛΕΣΒΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,Αγίας Ειρήνης 10,81100,2251037181,2251042467,n.lesvou@kep.gov.gr,
309,316,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΣΑΜΟΥ,ΔΙΟΙΚΗΤΗΡΙΟ ΣΑΜΟΣ,ΝΟΜΟΣ ΣΑΜΟΥ,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΔΕΡΒΕΝΑΚΙΩΝ -,83100,2273080004 2273087351,2273087464,n.samou@kep.gov.gr,
310,317,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΑΧΑΙΑΣ,Πάτρα,ΝΟΜΟΣ ΑΧΑΪΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,Βότση 37,26221,2610243400,2610243403,n.ahaias@kep.gov.gr,
311,318,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΗΛΕΙΑΣ,ΠΥΡΓΟΣ ΗΛΙΕΙΑΣ,ΝΟΜΟΣ ΗΛΕΙΑΣ,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΜΑΝΟΛΩΠΟΥΛΟΥ 31,27100,2621033290,2621034763,n.ileias@kep.gov.gr,
312,319,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΚΑΣΤΟΡΙΑΣ,Καστοριά,ΝΟΜΟΣ ΚΑΣΤΟΡΙΑΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,Διοικητήριο,52100,2467021200,2467021201,n.kastorias@kep.gov.gr,
313,320,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΦΛΩΡΙΝΗΣ,ΦΛΩΡΙΝΑ ΔΙΟΙΚΗΤΗΡΙΟ,ΝΟΜΟΣ ΦΛΩΡΙΝΗΣ,ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΤΟΛΕΜΑΙΩΝ 1,53100,2385044636,2385044634,n.florinas@kep.gov.gr,
314,321,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΑΡΤΑΣ,ΑΡΤΑ,ΝΟΜΟΣ ΑΡΤΑΣ,ΗΠΕΙΡΟΥ,Β.ΚΩΝΣΤΑΝΤΙΝΟΥ 109,47100,2681021516,2681021518,n.artis@kep.gov.gr,
315,322,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΙΩΑΝΝΙΝΩΝ,ΚΕΝΤΡΙΚΗ ΠΛΑΤΕΙΑ ΙΩΑΝΝΙΝΩΝ,ΝΟΜΟΣ ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ,ΠΛΑΤΕΙΑ ΠΥΡΡΟΥ 1,45110,2651087103 - 2651087104,2651070173,n.ioanninon@kep.gov.gr,
316,323,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΠΡΕΒΕΖΗΣ,ΠΡΕΒΕΖΑ,ΝΟΜΟΣ ΠΡΕΒΕΖΗΣ,ΗΠΕΙΡΟΥ,ΣΠΗΛΙΑΔΟΥ 8,48100,2682360222 2682360223 2682360224 2682360225 2682360226 2682360227,2682360219,n.prevezis@kep.gov.gr,
317,324,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΚΑΡΔΙΤΣΑΣ,ΚΑΡΔΙΤΣΑ,ΝΟΜΟΣ ΚΑΡΔΙΤΣΑΣ,ΘΕΣΣΑΛΙΑΣ,ΚΟΥΜΟΥΝΔΟΥΡΟΥ 29,43100,2441079999,2441079442,n.karditsas@kep.gov.gr,
318,325,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΛΑΡΙΣΗΣ,ΔΙΟΙΚΗΤΗΡΙΟ,ΝΟΜΟΣ ΛΑΡΙΣΗΣ,ΘΕΣΣΑΛΙΑΣ,ΠΑΠΑΝΑΣΤΑΣΙΟΥ ΚΑΙ ΒΕΛΗ -,41110,2410597291 2410597225 2410597356,2410538682,n.larisis@kep.gov.gr,
319,326,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΜΑΓΝΗΣΙΑΣ,ΒΟΛΟΣ,ΝΟΜΟΣ ΜΑΓΝΗΣΙΑΣ,ΘΕΣΣΑΛΙΑΣ,Ν.ΓΑΤΣΟΥ 20 - 2ας ΝΟΕΜΒΡΙΟΥ,38333,2421031435,2421030412,n.magnisias@kep.gov.gr,
320,327,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΤΡΙΚΑΛΩΝ,Τρίκαλα,ΝΟΜΟΣ ΤΡΙΚΑΛΩΝ,ΘΕΣΣΑΛΙΑΣ,Βασίλη Τσιτσάνη 31,,2431046127,2431029256,n.trikalon@kep.gov.gr,
321,328,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΖΑΚΥΝΘΟΥ,ΖΑΚΥΝΘΟΣ,ΝΟΜΟΣ ΖΑΚΥΝΘΟΥ,ΙΟΝΙΩΝ ΝΗΣΩΝ,ΦΩΣΚΟΛΟΥ 85 & ΓΛΑΔΣΤΩΝΟΣ 19,29100,2695029853,2695029854,n.zakinthou@kep.gov.gr,
322,329,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΚΕΡΚΥΡΑΣ,ΚΕΡΚΥΡΑ-ΚΕΝΤΡΟ,ΝΟΜΟΣ ΚΕΡΚΥΡΑΣ,ΙΟΝΙΩΝ ΝΗΣΩΝ,ΣΑΜΑΡΑ 13,49100,2661089211,2661089180,n.kerkiras@kep.gov.gr,
323,331,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΛΕΥΚΑΔΑΣ,ΠΑΡΑΛΙΑ ΛΕΥΚΑΔΑΣ,ΝΟΜΟΣ ΛΕΥΚΑΔΑΣ,ΙΟΝΙΩΝ ΝΗΣΩΝ,Π.ΦΙΛΙΠΠΑ 14,31100,2645024138,2645024138,n.lefkados@kep.gov.gr,
324,332,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΗΡΑΚΛΕΙΟΥ,ΗΡΑΚΛΕΙΟ,ΝΟΜΟΣ ΗΡΑΚΛΕΙΟΥ,ΚΡΗΤΗΣ,ΠΕΔΙΑΔΟΣ 2,71201,2810300782,2810300783,n.irakleiou@kep.gov.gr,
325,333,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΛΑΣΙΘΙΟΥ,ΆΓΙΟΣ ΝΙΚΟΛΑΟΣ,ΝΟΜΟΣ ΛΑΣΙΘΙΟΥ,ΚΡΗΤΗΣ,Πολυτεχνίου 1,72100,2841098131,2841022474,n.lasithiou@kep.gov.gr,
326,334,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΡΕΘΥΜΝΟΥ,Ρέθυμνο,ΝΟΜΟΣ ΡΕΘΥΜΝΗΣ,ΚΡΗΤΗΣ,Ασκούτση και Ζιμβρακάκη γωνία,74100,2831057626,2831024123,n.rethimnis@kep.gov.gr,
327,335,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΧΑΝΙΩΝ,"Χανιά,Κρήτη",ΝΟΜΟΣ ΧΑΝΙΩΝ,ΚΡΗΤΗΣ,Πλατεία ΕλευΘερίας 1,73134,2821023302,2821023305,n.hanion@kep.gov.gr,
328,336,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΚΙΛΚΙΣ,ΚΙΛΚΙΣ,ΝΟΜΟΣ ΚΙΛΚΙΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,21ης ΙΟΥΝΙΟΥ 99,61100,2341077040,2341075102,n.kilkis@kep.gov.gr,
329,337,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΗΜΑΘΙΑΣ,ΗΜΑΘΙΑ,ΝΟΜΟΣ ΗΜΑΘΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΕΛΗΑΣ 14,59100,2331077970,2331077977,n.imathias@kep.gov.gr,
330,338,ΚΕΠ ΔΗΜΟΥ ΗΛΙΟΥΠΟΛΕΩΣ Ν ΑΤΤΙΚΗΣ,Ηλιούπολη Αττικής,ΝΟΜΑΡΧΙΑΚΟ ΔΙΑΜΕΡΙΣΜΑ ΑΘΗΝΩΝ-ΚΕΝΤΡΙΚΟΣ ΤΟΜΕΑΣ,ΑΤΤΙΚΗΣ,Μπουμπουλίνας 35,16345,2109943638,2109943637,d.ilioupoleos@kep.gov.gr,
331,339,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΠΕΛΛΗΣ,ΕΔΕΣΣΑ,ΝΟΜΟΣ ΠΕΛΛΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΡΔΙΚΑ 15,58200,2381051661,2381051361,n.pellis@kep.gov.gr,
332,340,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΠΙΕΡΙΑΣ,ΚΑΤΕΡΙΝΗ,ΝΟΜΟΣ ΠΙΕΡΙΑΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,28 ΟΚΤΩΒΡΙΟΥ 40,60100,2351351100,2351351102,n.pierias@kep.gov.gr,
333,341,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΣΕΡΡΩΝ,ΣΕΡΡΕΣ,ΝΟΜΟΣ ΣΕΡΡΩΝ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΜΕΡΑΡΧΙΑΣ 36,62110,2321083350,2321083349,n.serron@kep.gov.gr,
334,342,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΧΑΛΚΙΔΙΚΗΣ,Πολύγυρος Χαλκιδικής,ΝΟΜΟΣ ΧΑΛΚΙΔΙΚΗΣ,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,Διοικητήριο Πολυγύρου,63100,2371039410-11-16-18-19,2371021722,n.halkidikis@kep.gov.gr,
335,343,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΝΟΜΟΣ ΔΩΔΕΚΑΝΗΣΟΥ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΠΛΑΤΕΙΑ ΕΛΕΥΘΕΡΙΑΣ 1,85100,2241046534,2241046536,n.dodekanisou@kep.gov.gr,
336,344,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΚΥΚΛΑΔΩΝ,ΕΡΜΟΥΠΟΛΗ - ΣΥΡΟΣ,ΝΟΜΟΣ ΚΥΚΛΑΔΩΝ,ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΣΤΑΜΑΤΙΟΥ ΠΡΩΪΟΥ 128,84100,2281079510,2281079518,n.kykladon@kep.gov.gr,
337,345,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΑΡΓΟΛΙΔΟΣ,ΝΑΥΠΛΙΟ,ΝΟΜΟΣ ΑΡΓΟΛΙΔΟΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,ΠΑΡΑΛΙΑΚΗ ΟΔΟΣ ΝΑΥΠΛΙΟΥ-ΝΕΑΣ ΚΙΟΥ,21100,2752027777,2752024316,n.argolidos@kep.gov.gr,
338,346,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΚΟΡΙΝΘΙΑΣ,Κόρινθος,ΝΟΜΟΣ ΚΟΡΙΝΘΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,Κωστή Παλαμά 53,20100,2741083378,2741073658,n.korinthias@kep.gov.gr,
339,347,ΚΕΠ ΝΟΜΑΡΧΙΑΚΗΣ ΑΥΤΟΔΙΟΙΚΗΣΗΣ ΒΟΙΩΤΙΑΣ,ΛΕΙΒΑΔΙΑ,ΝΟΜΟΣ ΒΟΙΩΤΙΑΣ,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΣΟΦΟΚΛΕΟΥΣ 19,32100,2261088444,2261028323,n.voiotias@kep.gov.gr,
